,email,tdm_url,time_stamp,mine_method,doi
184,skku.edu,http://pubs.acs.org/doi/pdf/10.1021/acs.iecr.7b02509,2019-01-13 12:40:30,ACS TDM,10.1021/acs.iecr.7b02509
185,gmail.com,http://link.springer.com/article/10.1007/s11009-016-9530-7/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11009-016-9530-7
186,gmail.com,https://www.tandfonline.com/doi/pdf/10.1080/08941920.2018.1505012,2019-01-12 15:11:32,Informa TDM,10.1080/08941920.2018.1505012
187,cardiff.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s12031-018-1083-5
188,bsi.ru.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00213-016-4332-8
189,mst.nl,https://api.elsevier.com/content/article/PII:S0002870314000155?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ahj.2013.11.014
190,cuhk.edu.hk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s11892-016-0821-8
191,jyu.fi,http://link.springer.com/article/10.1007/s40520-018-1074-y/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s40520-018-1074-y
192,st-andrews.ac.uk,https://api.elsevier.com/content/article/PII:S0012821X15005853?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.epsl.2015.09.018
193,fz-juelich.de,https://api.elsevier.com/content/article/PII:S0168900217308392?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.nima.2017.07.064
194,udel.edu,https://api.elsevier.com/content/article/PII:S0306261917312035?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.apenergy.2017.08.178
195,hotmail.com,https://api.elsevier.com/content/article/PII:S0360319918312680?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ijhydene.2018.04.111
196,cam.ac.uk,https://api.elsevier.com/content/article/PII:S1550413118301311?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.cmet.2018.02.020
197,fz-juelich.de,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fadfm.201702282,2019-01-03 18:07:39,Wiley PDF,10.1002/adfm.201702282
198,gmail.com,http://link.springer.com/article/10.1007/s40072-018-0113-1/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s40072-018-0113-1
199,uni-hamburg.de, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s13280-016-0766-9
